name,github,folder,build_folder,install_cmd
gocode,github.com/mdempsky/gocode,github.com/mdempsky/gocode,github.com/mdempsky/gocode,
gocode-gomod,github.com/stamblerre/gocode,github.com/stamblerre/gocode,github.com/stamblerre/gocode,
gopkgs,github.com/uudashr/gopkgs,github.com/uudashr/gopkgs,github.com/uudashr/gopkgs/cmd/gopkgs,
go-outline,github.com/ramya-rao-a/go-outline,github.com/ramya-rao-a/go-outline,github.com/ramya-rao-a/go-outline,
go-symbols,github.com/acroca/go-symbols,github.com/acroca/go-symbols,github.com/acroca/go-symbols,
guru,github.com/golang/tools,golang.org/x/tools,golang.org/x/tools/cmd/guru,
gorename,github.com/golang/tools,golang.org/x/tools,golang.org/x/tools/cmd/gorename,
gomodifytags,github.com/fatih/gomodifytags,github.com/fatih/gomodifytags,github.com/fatih/gomodifytags,
goplay,github.com/haya14busa/goplay,github.com/haya14busa/goplay,github.com/haya14busa/goplay/cmd/goplay,
impl,github.com/josharian/impl,github.com/josharian/impl,github.com/josharian/impl,
gotype-live,github.com/tylerb/gotype-live,github.com/tylerb/gotype-live,github.com/tylerb/gotype-live,
godef,github.com/rogpeppe/godef,github.com/rogpeppe/godef,github.com/rogpeppe/godef,
gogetdoc,github.com/zmb3/gogetdoc,github.com/zmb3/gogetdoc,github.com/zmb3/gogetdoc,
goimports,github.com/golang/tools,golang.org/x/tools,golang.org/x/tools/cmd/goimports,
goreturns,github.com/sqs/goreturns,github.com/sqs/goreturns,github.com/sqs/goreturns,
goformat,github.com/mbenkmann/goformat,winterdrache.de/goformat,winterdrache.de/goformat/goformat,
golint,github.com/golang/lint,golang.org/x/lint,golang.org/x/lint/golint,
gotests,github.com/cweill/gotests,github.com/cweill/gotests,github.com/cweill/gotests,./...
staticcheck,github.com/dominikh/go-tools,honnef.co/go/tools,honnef.co/go/tools,./...
golangci-lint,github.com/golangci/golangci-lint,github.com/golangci/golangci-lint,github.com/golangci/golangci-lint/cmd/golangci-lint,
revive,github.com/mgechev/revive,github.com/mgechev/revive,github.com/mgechev/revive,
go-langserver,github.com/sourcegraph/go-langserver,github.com/sourcegraph/go-langserver,github.com/sourcegraph/go-langserver,
gopls,github.com/golang/tools,golang.org/x/tools,golang.org/x/tools/gopls,
dlv,github.com/go-delve/delve,github.com/go-delve/delve,github.com/go-delve/delve/cmd/dlv,
fillstruct,github.com/davidrjenni/reftools,github.com/davidrjenni/reftools,github.com/davidrjenni/reftools/cmd/fillstruct,
godoctor,github.com/godoctor/godoctor,github.com/godoctor/godoctor,github.com/godoctor/godoctor,
